30-Jul-2022/12:47:23	: Soundrecording!!!!.... Thread start 
30-Jul-2022/12:47:24	: Mic Not detcted
30-Jul-2022/12:47:24	: Recording Initialized .... Mic open
30-Jul-2022/12:47:24	: Waiting ScreenRecord
30-Jul-2022/12:47:25	: Waiting For Audio
30-Jul-2022/12:47:25	: Waiting ScreenRecord
30-Jul-2022/12:47:26	: Waiting For Audio
30-Jul-2022/12:47:26	: Waiting ScreenRecord
30-Jul-2022/12:47:27	: Waiting For Audio
30-Jul-2022/12:47:27	: Waiting ScreenRecord
30-Jul-2022/12:47:28	: Waiting For Audio
30-Jul-2022/12:47:28	: Waiting ScreenRecord
30-Jul-2022/12:47:29	: Waiting For Audio
30-Jul-2022/12:47:29	: Waiting ScreenRecord
30-Jul-2022/12:47:30	: Waiting For Audio
30-Jul-2022/12:47:30	: Waiting ScreenRecord
30-Jul-2022/12:47:31	: Waiting For Audio
30-Jul-2022/12:47:31	: Waiting ScreenRecord
30-Jul-2022/12:47:32	: Waiting For Audio
30-Jul-2022/12:47:32	: Waiting ScreenRecord
30-Jul-2022/12:47:33	: Waiting For Audio
30-Jul-2022/12:47:34	: Waiting ScreenRecord
30-Jul-2022/12:47:34	: Waiting For Audio
30-Jul-2022/12:47:35	: Waiting ScreenRecord
30-Jul-2022/12:47:35	: Waiting For Audio
30-Jul-2022/12:47:36	: Waiting ScreenRecord
30-Jul-2022/12:47:36	: Waiting For Audio
30-Jul-2022/12:47:37	: Waiting ScreenRecord
30-Jul-2022/12:47:37	: Waiting For Audio
30-Jul-2022/12:47:38	: Waiting ScreenRecord
30-Jul-2022/12:47:38	: Waiting For Audio
30-Jul-2022/12:47:39	: Waiting ScreenRecord
30-Jul-2022/12:47:39	: Waiting For Audio
30-Jul-2022/12:47:40	: Waiting ScreenRecord
30-Jul-2022/12:47:40	: Waiting For Audio
30-Jul-2022/12:47:41	: Waiting ScreenRecord
30-Jul-2022/12:47:41	: Waiting For Audio
30-Jul-2022/12:47:42	: Waiting ScreenRecord
30-Jul-2022/12:47:42	: Waiting For Audio
30-Jul-2022/12:47:43	: Waiting ScreenRecord
30-Jul-2022/12:47:43	: Waiting For Audio
30-Jul-2022/12:47:44	: Waiting ScreenRecord
30-Jul-2022/12:47:44	: Waiting For Audio
30-Jul-2022/12:48:03	: stop recording call
30-Jul-2022/12:48:03	: start time30-07-2022-12:47:23end time video---30-07-2022-12:48:03file_name9876_1225_9155104987_22_07_30_12_47_44start_time=9876
30-Jul-2022/12:48:03	: Exceeption Caught while stop Sound Recording
30-Jul-2022/12:48:03	: encoding finish 19s
30-Jul-2022/12:48:04	: Waiting For Audio
30-Jul-2022/12:48:04	: Waiting ScreenRecord
30-Jul-2022/12:48:05	: Waiting For Audio
30-Jul-2022/12:48:05	: Waiting ScreenRecord
30-Jul-2022/12:48:06	: Waiting For Audio
30-Jul-2022/12:48:06	: Waiting ScreenRecord
30-Jul-2022/12:48:07	: Waiting For Audio
30-Jul-2022/12:48:07	: Waiting ScreenRecord
30-Jul-2022/12:48:08	: Waiting For Audio
30-Jul-2022/12:48:08	: Waiting ScreenRecord
30-Jul-2022/12:48:09	: Waiting For Audio
30-Jul-2022/12:48:09	: Waiting ScreenRecord
30-Jul-2022/12:48:10	: Waiting For Audio
30-Jul-2022/12:48:10	: Waiting ScreenRecord
30-Jul-2022/12:48:11	: Waiting For Audio
30-Jul-2022/12:48:11	: Waiting ScreenRecord
30-Jul-2022/12:48:12	: Waiting For Audio
30-Jul-2022/12:48:12	: Waiting ScreenRecord
30-Jul-2022/12:48:13	: Waiting For Audio
30-Jul-2022/12:48:13	: Waiting ScreenRecord
30-Jul-2022/12:48:14	: Waiting For Audio
