02-Aug-2022/10:22:09	: Soundrecording!!!!.... Thread start 
02-Aug-2022/10:22:10	: Waiting ScreenRecord
02-Aug-2022/10:22:11	: Waiting ScreenRecord
02-Aug-2022/10:22:11	: Recording Initialized .... Mic open
02-Aug-2022/10:22:12	: Waiting ScreenRecord
02-Aug-2022/10:22:12	: Waiting For Audio
02-Aug-2022/10:22:13	: Waiting ScreenRecord
02-Aug-2022/10:22:13	: Waiting For Audio
02-Aug-2022/10:22:14	: Waiting ScreenRecord
02-Aug-2022/10:22:14	: Waiting For Audio
02-Aug-2022/10:22:15	: Waiting ScreenRecord
02-Aug-2022/10:22:15	: Waiting For Audio
02-Aug-2022/10:22:16	: Waiting ScreenRecord
02-Aug-2022/10:22:16	: Waiting For Audio
02-Aug-2022/10:22:17	: Waiting ScreenRecord
02-Aug-2022/10:22:17	: Waiting For Audio
02-Aug-2022/10:22:18	: Waiting ScreenRecord
02-Aug-2022/10:22:18	: Waiting For Audio
02-Aug-2022/10:22:19	: Waiting ScreenRecord
02-Aug-2022/10:22:19	: Waiting For Audio
02-Aug-2022/10:22:20	: Waiting ScreenRecord
02-Aug-2022/10:22:21	: Waiting ScreenRecord
02-Aug-2022/10:22:21	: Waiting For Audio
02-Aug-2022/10:22:22	: Waiting ScreenRecord
02-Aug-2022/10:22:22	: Waiting For Audio
02-Aug-2022/10:22:23	: Waiting For Audio
02-Aug-2022/10:22:23	: Waiting ScreenRecord
02-Aug-2022/10:22:24	: Waiting ScreenRecord
02-Aug-2022/10:22:24	: Waiting For Audio
02-Aug-2022/10:22:25	: Waiting For Audio
02-Aug-2022/10:22:25	: Waiting ScreenRecord
02-Aug-2022/10:22:26	: Waiting For Audio
02-Aug-2022/10:22:26	: Waiting ScreenRecord
02-Aug-2022/10:22:27	: Waiting For Audio
02-Aug-2022/10:22:27	: Waiting ScreenRecord
02-Aug-2022/10:22:28	: Waiting For Audio
02-Aug-2022/10:22:28	: Waiting ScreenRecord
02-Aug-2022/10:22:29	: Waiting ScreenRecord
02-Aug-2022/10:22:29	: Waiting For Audio
02-Aug-2022/10:22:30	: Waiting For Audio
02-Aug-2022/10:22:30	: Waiting ScreenRecord
