10-Sep-2022/12:53:09	: Soundrecording!!!!.... Thread start 
10-Sep-2022/12:53:10	: Waiting ScreenRecord
10-Sep-2022/12:53:11	: Mic Not detcted
10-Sep-2022/12:53:11	: Recording Initialized .... Mic open
10-Sep-2022/12:53:11	: Waiting ScreenRecord
10-Sep-2022/12:53:12	: Waiting For Audio
10-Sep-2022/12:53:12	: Waiting ScreenRecord
10-Sep-2022/12:53:13	: Waiting For Audio
10-Sep-2022/12:53:13	: Waiting ScreenRecord
10-Sep-2022/12:53:14	: Waiting For Audio
10-Sep-2022/12:53:14	: Waiting ScreenRecord
10-Sep-2022/12:53:15	: Waiting For Audio
10-Sep-2022/12:53:15	: Waiting ScreenRecord
10-Sep-2022/12:53:16	: Waiting For Audio
10-Sep-2022/12:53:16	: Waiting ScreenRecord
10-Sep-2022/12:53:17	: Waiting For Audio
10-Sep-2022/12:53:17	: Waiting ScreenRecord
10-Sep-2022/12:53:18	: Waiting For Audio
10-Sep-2022/12:53:18	: Waiting ScreenRecord
10-Sep-2022/12:53:19	: Waiting For Audio
10-Sep-2022/12:53:19	: Waiting ScreenRecord
10-Sep-2022/12:53:20	: Waiting For Audio
10-Sep-2022/12:53:20	: Waiting ScreenRecord
10-Sep-2022/12:53:21	: Waiting For Audio
10-Sep-2022/12:53:21	: Waiting ScreenRecord
10-Sep-2022/12:53:22	: Waiting For Audio
10-Sep-2022/12:53:22	: Waiting ScreenRecord
10-Sep-2022/12:53:23	: Waiting For Audio
10-Sep-2022/12:53:23	: Waiting ScreenRecord
10-Sep-2022/12:53:24	: Waiting For Audio
10-Sep-2022/12:53:24	: Waiting ScreenRecord
10-Sep-2022/12:53:25	: Waiting For Audio
10-Sep-2022/12:53:25	: Waiting ScreenRecord
10-Sep-2022/12:53:26	: Waiting For Audio
10-Sep-2022/12:53:26	: Waiting ScreenRecord
10-Sep-2022/12:53:27	: Waiting For Audio
10-Sep-2022/12:53:27	: Waiting ScreenRecord
10-Sep-2022/12:53:28	: Waiting For Audio
10-Sep-2022/12:53:28	: Waiting ScreenRecord
10-Sep-2022/12:53:29	: Waiting For Audio
10-Sep-2022/12:53:29	: Waiting ScreenRecord
10-Sep-2022/12:53:30	: Waiting For Audio
